UnitID	additionalID	Property1	PropertyValue1	FullScientificName	Property2	PropertyValue2	Property3	PropertyValue3	Property4	PropertyValue4	Country	exact_site	CollectionStartDay	CollectedBy	Property5	PropertyValue5	Property6	PropertyValue6																																											
RMCA_048	4445	Taxonomic Family (APD)	AGAVAC	Agave vivipara L. var. deweyana (Trel.) P.I.Forst.	Vernacular name	Caribbean agave	Vernacular name (English)	Caribbean agave	Vernacular name (French)		Unknown	Station de Gimbi Mutadi	1951	I.N.E.A.C.	Region (plant)	"Mexico, Central America, Caribbean coast of south America (Native) ; Introduced in Africa (Kenya, Mauritius, Réunion, Rwanda, South Africa, Tanzania"	Ecology (plant)	"Along roadsides, in dry forests, disturbed sites, secondary forests, thorny shrublands, coastal forests, coastal sand dunes and sea cliffs"																																											
RMCA_025	819	Taxonomic Family (APD)	AGAVAC	Furcraea foetida (L.) Haw. 	Vernacular name	Mauritius hemp	Vernacular name (English)	"Mauritius hemp, green aloe, giant cabuya"	Vernacular name (French)	"Chanvre de Maurice, fourcroya, aloès vert, aloès malgache, aloès créole"	R.D. Congo	Eala	1909	Dept. Argiculture	Region (plant)		Ecology (plant)																																												
RMCA_026	819	Taxonomic Family (APD)	AGAVAC	Furcraea foetida (L.) Haw. 	Vernacular name	Mauritius hemp	Vernacular name (English)	"Mauritius hemp, green aloe, giant cabuya"	Vernacular name (French)	"Chanvre de Maurice, fourcroya, aloès vert, aloès malgache, aloès créole"	R.D. Congo	Eala	1909	Dept. Argiculture	Region (plant)		Ecology (plant)																																												
RMCA_050	4457	Taxonomic Family (APD)	AGAVAC	Furcraea hexapetala (Jacq.) Urb.	Vernacular name	Cuban Hemp	Vernacular name (English)	Cuban Hemp	Vernacular name (French)		Unknown	Station de Gimbi Mutadi	1951	I.N.E.A.C.	Region (plant)		Ecology (plant)																																												
RMCA_074	1239	Taxonomic Family (APD)	ARECAC	Arenga pinnata (Wurmb) Merr.	Vernacular name	Sugar palm	Vernacular name (English)	"Sugar areng palm,  arengga palm, black sugar palm, kaong palm"	Vernacular name (French)	"Palmier à sucre, palmier Arenga, palmier Areng, palmier à fibres noires, palmier Gomuti, Aren, Enau, Irok, et Kaong"	R.D. Congo	Eala	1921	Dept. De l'Agriculture	Region (plant)	Not in Congo (Africa: Tanzania ; Asia ; Oceanië	Ecology (plant)																																												
RMCA_082	1240	Taxonomic Family (APD)	ARECAC	Arenga pinnata (Wurmb) Merr.	Vernacular name	Sugar palm	Vernacular name (English)	"Sugar areng palm,  arengga palm, black sugar palm, kaong palm"	Vernacular name (French)	"Palmier à sucre, palmier Arenga, palmier Areng, palmier à fibres noires, palmier Gomuti, Aren, Enau, Irok, et Kaong"	R.D. Congo	Eala	1921	Dept. De l'Agriculture	Region (plant)	Not in Congo (Africa: Tanzania ; Asia ; Oceanië	Ecology (plant)																																												
RMCA_014	1780	Taxonomic Family (APD)	ARECAC	Arenga pinnata (Wurmb) Merr.	Vernacular name	Sugar palm	Vernacular name (English)	"Sugar areng palm,  arengga palm, black sugar palm, kaong palm"	Vernacular name (French)	"Palmier à sucre, palmier Arenga, palmier Areng, palmier à fibres noires, palmier Gomuti, Aren, Enau, Irok, et Kaong"	R.D. Congo	Eala	1982	Corbisier Baland	Region (plant)	Not in Congo (Africa: Tanzania ; Asia ; Oceanië	Ecology (plant)																																												
RMCA_054	594	Taxonomic Family (APD)	ARECAC	Hyphaene guineensis Schumach. & Thonn.	Vernacular name		Vernacular name (English)	Matebeira	Vernacular name (French)			Congo	1907	Pynaert	Region (plant)	"Western DRC; West Africa (Guinea, Guinea Bissau, Liberia, Ghana, Togo and Benin) and Central Africa (Gabon, Congo, Democratic Republic of Congo and Angola including the Cabinda Enclave)"	Ecology (plant)	Marine Coastal/Supratidal																																											
RMCA_002	541	Taxonomic Family (APD)	ARECAC	Raphia gentiliana De Wild.	Vernacular name	Raphia Palm	Vernacular name (English)	Raphia Palm	Vernacular name (French)	Palmier Raphia	R.D. Congo	Eala	1910	Granshoff	Region (plant)	Northern DRC (Native)	Ecology (plant)	Wetlands (inland)																																											
RMCA_020	1412	Taxonomic Family (APD)	ARECAC	Raphia gentiliana De Wild.	Vernacular name	Raphia Palm	Vernacular name (English)	Raphia Palm	Vernacular name (French)	Palmier Raphia	R.D. Congo	Eala	1912	Goossens	Region (plant)	Northern DRC (Native)	Ecology (plant)	Wetlands (inland)																																											
RMCA_108	3333	Taxonomic Family (APD)	ARECAC	Raphia gentiliana De Wild.	Vernacular name	Raphia Palm	Vernacular name (English)	Raphia Palm	Vernacular name (French)	Palmier Raphia	R.D. Congo	Molegbe	1949	R.p. Collaus	Region (plant)	Northern DRC (Native)	Ecology (plant)	Wetlands (inland)																																											
RMCA_060	1278	Taxonomic Family (APD)	ARECAC	Raphia sese De Wild.	Vernacular name		Vernacular name (English)	Raphia Palm	Vernacular name (French)		R.D. Congo	Lusambo	1912	Dobbelaere	Region (plant)	North-eastern DRC and  Bas-Congo province in South western (Native)	Ecology (plant)	Forest																																											
RMCA_001	543	Taxonomic Family (APD)	ARECAC	Raphia vinifera P.Beauv. 	Vernacular name	Wine raffia palm	Vernacular name (English)	"Bamboo palm, king bamboo palm, raphia palm"	Vernacular name (French)	"Palmier bambou, palmier raphia, raphia, palmier raphia à vin"	R.D. Congo	Eala	1910	Granshoff	Region (plant)	"(Angola?), Native to Benin, Cameroon, Equatorial Guinea, Ghana, Liberia, Nigeria"	Ecology (plant)	Forest																																											
RMCA_073	597	Taxonomic Family (APD)	BOMBACAC	Adansonia digitata L.	Vernacular name	Baobab	Vernacular name (English)	Cream of tartar tree; cream-of-tartar tree; Ethiopia sour gourd; monkey bread tree; monkey-bread tree; Senegal calabash (fruit); sour gourd; upside-down tree	Vernacular name (French)	Arbre aux calabasses; arbre de mille ans; baobab; calebassier da Sénégal; mapou etranger; pain de singe; pain de singe (fruit)	R.D. Congo	Boma	1909	Pynaert	Region (plant)		Ecology (plant)																																												
RMCA_010	565	Taxonomic Family (APD)	BROMELIAC	Ananas comosus (L.) Merr.	Vernacular name	Pineapple	Vernacular name (English)	 Pineapple	Vernacular name (French)	Ananas	R.D. Congo	Eala	1910	Granshoff	Region (plant)	"South America, Philippines, Peninsular Malaysia, Indonsesia, Thailand, Nortern Sumatra, Hawai, Brazil, Taiwan, South Africa, Kenya, Côte d'ivoire, Mexico, Puerto Rico ; Africa: Angola, Benin, Cameroon, Central African Republic, DRC, Côte d'ivoire, Eswatini, Ethiopia, Gabon, Ghana, Guinea, Guinea-Bissau, Kenya, Liberia, Madagascar, Mauritius, Morocco, Mozambique, Nigeria, Réunion, Seychelles, South Africa, Sudan, Togo, Uganda, Zimbabwe"	Ecology (plant)	"Tropics, subtropics"																																											
RMCA_075	1394	Taxonomic Family (APD)	BROMELIAC	Ananas comosus (L.) Merr.	Vernacular name	Pineapple	Vernacular name (English)	 Pineapple	Vernacular name (French)	Ananas	R.D. Congo	Eala	1925	Goossens	Region (plant)	"South America, Philippines, Peninsular Malaysia, Indonsesia, Thailand, Nortern Sumatra, Hawai, Brazil, Taiwan, South Africa, Kenya, Côte d'ivoire, Mexico, Puerto Rico ; Africa: Angola, Benin, Cameroon, Central African Republic, DRC, Côte d'ivoire, Eswatini, Ethiopia, Gabon, Ghana, Guinea, Guinea-Bissau, Kenya, Liberia, Madagascar, Mauritius, Morocco, Mozambique, Nigeria, Réunion, Seychelles, South Africa, Sudan, Togo, Uganda, Zimbabwe"	Ecology (plant)	"Tropics, subtropics"																																											
RMCA_078	2663	Taxonomic Family (APD)	BROMELIAC	Ananas comosus (L.) Merr.	Vernacular name	Pineapple	Vernacular name (English)	 Pineapple	Vernacular name (French)	Ananas	R.D. Congo	Eala	1936	I.N.E.A.C.	Region (plant)	"South America, Philippines, Peninsular Malaysia, Indonsesia, Thailand, Nortern Sumatra, Hawai, Brazil, Taiwan, South Africa, Kenya, Côte d'ivoire, Mexico, Puerto Rico ; Africa: Angola, Benin, Cameroon, Central African Republic, DRC, Côte d'ivoire, Eswatini, Ethiopia, Gabon, Ghana, Guinea, Guinea-Bissau, Kenya, Liberia, Madagascar, Mauritius, Morocco, Mozambique, Nigeria, Réunion, Seychelles, South Africa, Sudan, Togo, Uganda, Zimbabwe"	Ecology (plant)	"Tropics, subtropics"																																											
RMCA_063	237	Taxonomic Family (APD)	DIOSCOREAC	Dioscorea sp.	Vernacular name		Vernacular name (English)		Vernacular name (French)		R.D. Congo	Boma	1910	Briselie	Region (plant)		Ecology (plant)																																												
RMCA_016	1767	Taxonomic Family (APD)	DRACAENAC	Sansevieria cylindrica Bojer ex Hook.	Vernacular name	Bowstring hemp	Vernacular name (English)	"Cylindrical snake plant, African spear Spear sansevieria, Saint Bárbara sword"	Vernacular name (French)		R.D. Congo	Eala	1928	Corbisier Baland	Region (plant)		Ecology (plant)																																												
RMCA_116	1767	Taxonomic Family (APD)	DRACAENAC	Sansevieria cylindrica Bojer ex Hook.	Vernacular name	Bowstring hemp	Vernacular name (English)	"Cylindrical snake plant, African spear Spear sansevieria, Saint Bárbara sword"	Vernacular name (French)		R.D. Congo	Eala	1928	m.a. Corbisier Baland	Region (plant)		Ecology (plant)																																												
RMCA_083	1403	Taxonomic Family (APD)	DRACAENAC	Sansevieria ehrenbergii Schweinf. ex Baker	Vernacular name	Blue sansevieria	Vernacular name (English)	"Seleb sansevieria, blue sansevieria, Somaliland bowstring hemp"	Vernacular name (French)	"sansevieria bleue, sansevieria à l'épée"	R.D. Congo	Eala	1925	Goossens	Region (plant)		Ecology (plant)																																												
RMCA_017	569	Taxonomic Family (APD)	DRACAENAC	Sansevieria hyacinthoides (L.) Druce	Vernacular name	African Bowstring Hemp	Vernacular name (English)	"African bowstring hemp, African Bowstring Hemp, African Bowstring-Hemp, African bowstring-hemp., bowstring hemp, Bowstring Hemp, iguanatail, Iguanatail., konje hemp, mother-in-law's-tongue, pile root, piles root., sword plant"	Vernacular name (French)		R.D. Congo	Bas-congo	1897	Unknown	Region (plant)		Ecology (plant)																																												
RMCA_090	571	Taxonomic Family (APD)	DRACAENAC	Sansevieria hyacinthoides (L.) Druce	Vernacular name	African Bowstring Hemp	Vernacular name (English)	"African bowstring hemp, African Bowstring Hemp, African Bowstring-Hemp, African bowstring-hemp., bowstring hemp, Bowstring Hemp, iguanatail, Iguanatail., konje hemp, mother-in-law's-tongue, pile root, piles root., sword plant"	Vernacular name (French)		R.D. Congo	Eala	1909	Jardin Botanique	Region (plant)		Ecology (plant)																																												
RMCA_071	1400	Taxonomic Family (APD)	DRACAENAC	Sansevieria metallica Gérôme & Labroy	Vernacular name	Snake Plant	Vernacular name (English)	Dracaena zebra	Vernacular name (French)	Dracaena zebra	R.D. Congo	Eala	1925	Goossens	Region (plant)		Ecology (plant)																																												
RMCA_099	1771	Taxonomic Family (APD)	DRACAENAC	Sansevieria trifasciata Prain	Vernacular name	Snake Plant	Vernacular name (English)	"African bowstring hemp, African bowstring-hemp, African bowstring-hemp, African Bowstring-Hemp, Birds Nest Sanseviera, Bird's Nest Sansevieria., Birds Nest Snake Plant, Bowstring Hemp, Good Luck Plant., konje hemp, konje-hemp, Konje-Hemp, konje-hemp., leopard lily, Mother in Law Tongue, Mother-In-Law´s-Tongue, Mother-in-laws Tongue, Mother-In-Laws Tongue, mother-in-law's tongue, Mother-in-law's Tongue, mother-in-law's tongue (from the sharp pointed leaf)., mother-in-law's tongue., mother-in-law's-tongue, mother-in-law's-tongue, mother-in-law's-tongue, mother-in-laws-tongue (Caribbean), Silver Queen Snake Plant., snake plant, Snake Plant, snake plant., Snake Plant., Snake Plant., snakeplant, Snakeplant, snakeplant., tiger cat., Viper's Bowstring Hemp"	Vernacular name (French)	"Chanvre D´afrique., chanvre d'Afrique"	R.D. Congo	Eala	1928	m.a. Corbisier Baland	Region (plant)		Ecology (plant)																																												
RMCA_104	580	Taxonomic Family (APD)	EUPHORBIAC	Manniophyton fulvum Müll. Arg.	Vernacular name	Gasso Nut	Vernacular name (English)	Gasso Nut	Vernacular name (French)		Unknown	Unknown	1907	Dept. Finances	Region (plant)		Ecology (plant)																																												
RMCA_091	585	Taxonomic Family (APD)	EUPHORBIAC	Manniophyton fulvum Müll. Arg.	Vernacular name	Gasso Nut	Vernacular name (English)	Gasso Nut	Vernacular name (French)		R.D. Congo	Coquilhatville	1897	Bunge At Anvers	Region (plant)		Ecology (plant)																																												
RMCA_094	836	Taxonomic Family (APD)	EUPHORBIAC	Manniophyton fulvum Müll. Arg.	Vernacular name	Gasso Nut	Vernacular name (English)	Gasso Nut	Vernacular name (French)		R.D. Congo	Aruwimi (river)	1912	Dept. Finances	Region (plant)		Ecology (plant)																																												
RMCA_084	984	Taxonomic Family (APD)	EUPHORBIAC	Manniophyton fulvum Müll. Arg.	Vernacular name	Gasso Nut	Vernacular name (English)	Gasso Nut	Vernacular name (French)		R.D. Congo	Eala	1913	Dept. De l'Agriculture	Region (plant)		Ecology (plant)																																												
RMCA_058	987	Taxonomic Family (APD)	EUPHORBIAC	Manniophyton fulvum Müll. Arg.	Vernacular name	Gasso Nut	Vernacular name (English)	Gasso Nut	Vernacular name (French)		R.D. Congo	Eala	1913	Dept. Argiculture	Region (plant)		Ecology (plant)																																												
RMCA_061	1417	Taxonomic Family (APD)	EUPHORBIAC	Manniophyton fulvum Müll. Arg.	Vernacular name	Gasso Nut	Vernacular name (English)	Gasso Nut	Vernacular name (French)		R.D. Congo	Eala	1925	Goossens	Region (plant)		Ecology (plant)																																												
RMCA_110	1559	Taxonomic Family (APD)	EUPHORBIAC	Manniophyton fulvum Müll. Arg.	Vernacular name	Gasso Nut	Vernacular name (English)	Gasso Nut	Vernacular name (French)		R.D. Congo	Eala	1926	Goossens	Region (plant)		Ecology (plant)																																												
RMCA_038	1775	Taxonomic Family (APD)	EUPHORBIAC	Manniophyton fulvum Müll. Arg.	Vernacular name	Gasso Nut	Vernacular name (English)	Gasso Nut	Vernacular name (French)		R.D. Congo	Eala	1928	Corbisier Baland	Region (plant)		Ecology (plant)																																												
RMCA_109	1776	Taxonomic Family (APD)	EUPHORBIAC	Manniophyton fulvum Müll. Arg.	Vernacular name	Gasso Nut	Vernacular name (English)	Gasso Nut	Vernacular name (French)		R.D. Congo	Eala	1928	m.a. Corbisier Baland	Region (plant)		Ecology (plant)																																												
RMCA_055	2588	Taxonomic Family (APD)	EUPHORBIAC	Manniophyton fulvum Müll. Arg.	Vernacular name	Gasso Nut	Vernacular name (English)	Gasso Nut	Vernacular name (French)		R.D. Congo	Luluabourg (data : Luluabororg)	1936	Morlighem	Region (plant)		Ecology (plant)																																												
RMCA_023	2327	Taxonomic Family (APD)	FABAC	Crotalaria juncea L.	Vernacular name	Sun hemp	Vernacular name (English)	"Sunn hemp, Indian hemp, Madras hemp, sann hemp, sun hemp, Bombay hemp, brown hemp"	Vernacular name (French)	"Chanvre indien, chanvre du Bengale, crotalaire jonciforme, cascavelle"	R.D. Congo	Eala	1931	Corbisier Baland	Region (plant)		Ecology (plant)																																												
RMCA_015	1429	Taxonomic Family (APD)	LINAC	Linum usitatissimum L.	Vernacular name	Linseed	Vernacular name (English)	"Linseed, flaxseed, flax"	Vernacular name (French)	Lin	R.D. Congo	Katanga	1926	M. Umeye Albert Gand	Region (plant)		Ecology (plant)																																												
RMCA_093	1430	Taxonomic Family (APD)	LINAC	Linum usitatissimum L.	Vernacular name	Linseed	Vernacular name (English)	"Linseed, flaxseed, flax"	Vernacular name (French)	Lin	R.D. Congo	Haut Katanga	1926	umeye Albert Gand	Region (plant)		Ecology (plant)																																												
RMCA_085	1392	Taxonomic Family (APD)	MALVAC	Abelmoschus esculentus (L.) Moench	Vernacular name	Lady's Finger	Vernacular name (English)	"Common okra, okra, okro, lady’s finger"	Vernacular name (French)	"Gombo commun, gombo, gumbo"	R.D. Congo	Eala	1925	Goossens	Region (plant)		Ecology (plant)																																												
RMCA_117	1407	Taxonomic Family (APD)	MALVAC	Abelmoschus esculentus (L.) Moench	Vernacular name	Lady's Finger	Vernacular name (English)	"Abelmosk, ambrette, annual hibiscus, Bamia Moschata, Galu Gasturi, muskdana, musk mallow, musk okra, ornamental okra, rose mallow, tropical jewel hibiscus, Yorka okra"	Vernacular name (French)	Ambrette	R.D. Congo	Eala	1925	Goossens	Region (plant)		Ecology (plant)																																												
RMCA_052	4462	Taxonomic Family (APD)	MALVAC	Abelmoschus moschatus Medik.	Vernacular name	Musk mallow	Vernacular name (English)	"Abelmosk, ambrette, annual hibiscus, Bamia Moschata, Galu Gasturi, muskdana, musk mallow, musk okra, ornamental okra, rose mallow, tropical jewel hibiscus, Yorka okra"	Vernacular name (French)	Ambrette	Unknown	Station de Gimbi Mutadi	1951	I.N.E.A.C.	Region (plant)		Ecology (plant)																																												
RMCA_088	4462	Taxonomic Family (APD)	MALVAC	Abelmoschus moschatus Medik.	Vernacular name	Musk mallow	Vernacular name (English)	"Abelmosk, ambrette, annual hibiscus, Bamia Moschata, Galu Gasturi, muskdana, musk mallow, musk okra, ornamental okra, rose mallow, tropical jewel hibiscus, Yorka okra"	Vernacular name (French)	Ambrette	Unknown	Station de Gimbi Mutadi	1951	Unknown	Region (plant)		Ecology (plant)																																												
RMCA_080	1422	Taxonomic Family (APD)	MALVAC	Abroma augusta (L.) L.f.	Vernacular name	Cotton Abroma	Vernacular name (English)	"Devil’s cotton, perennial Indian hemp, abroma"	Vernacular name (French)	"Abrome, abrome royal"	R.D. Congo	Eala	1925	Goossens	Region (plant)		Ecology (plant)																																												
RMCA_028	2279	Taxonomic Family (APD)	MALVAC	Abroma augusta (L.) L.f.	Vernacular name	Cotton Abroma	Vernacular name (English)	"Devil’s cotton, perennial Indian hemp, abroma"	Vernacular name (French)	"Abrome, abrome royal"	R.D. Congo	Eala	1931	Corbisier Baland	Region (plant)		Ecology (plant)																																												
RMCA_119	4460	Taxonomic Family (APD)	MALVAC	Abroma augusta (L.) L.f.	Vernacular name	Cotton Abroma	Vernacular name (English)	"Devil’s cotton, perennial Indian hemp, abroma"	Vernacular name (French)	"Abrome, abrome royal"	Unknown	Station de Gimba Matadi	1951	I.N.E.A.C.	Region (plant)		Ecology (plant)																																												
RMCA_097	4448	Taxonomic Family (APD)	MALVAC	Abutilon angulatum (Guill. & Perr.) Mast.	Vernacular name	Elephant's ear	Vernacular name (English)	"Elephant’s ear, fluted abutilon"	Vernacular name (French)		Unknown	Station de Gimbi Mutadi	1950	Unknown	Region (plant)		Ecology (plant)																																												
RMCA_059	1558	Taxonomic Family (APD)	MALVAC	Abutilon indicum (L.) Sweet	Vernacular name	India Abutilon	Vernacular name (English)	"Indian abutilon, Indian mallow"	Vernacular name (French)		R.D. Congo	Eala	1926	Goossens	Region (plant)		Ecology (plant)																																												
RMCA_031	2317	Taxonomic Family (APD)	MALVAC	Hibiscus cannabinus L.	Vernacular name	Kenaf	Vernacular name (English)	"Kenaf, vegetable kenaf, Guinea hemp, Deccan hemp"	Vernacular name (French)	"Kénaf, chanvre de Guinée, chanvre de Bombay, da"	R.D. Congo	Eala	1931	Lejeune	Region (plant)		Ecology (plant)																																												
RMCA_087	2318	Taxonomic Family (APD)	MALVAC	Hibiscus cannabinus L.	Vernacular name	Kenaf	Vernacular name (English)	"Kenaf, vegetable kenaf, Guinea hemp, Deccan hemp"	Vernacular name (French)	"Kénaf, chanvre de Guinée, chanvre de Bombay, da"	R.D. Congo	Eala	1931	Lejeune	Region (plant)		Ecology (plant)																																												
RMCA_096	2319	Taxonomic Family (APD)	MALVAC	Hibiscus eetveldeanus De Wild. & T.Durand	Vernacular name	African rosemallow	Vernacular name (English)	"African rosemallow, red-leaf hibiscus, cranberry hibiscus, false roselle"	Vernacular name (French)		R.D. Congo	Eala	1931	Lejeune	Region (plant)		Ecology (plant)																																												
RMCA_008	2320	Taxonomic Family (APD)	MALVAC	Hibiscus eetveldeanus De Wild. & T.Durand	Vernacular name	African rosemallow	Vernacular name (English)	"African rosemallow, red-leaf hibiscus, cranberry hibiscus, false roselle"	Vernacular name (French)		R.D. Congo	Eala	1931	Lejeune	Region (plant)		Ecology (plant)																																												
RMCA_007	1419	Taxonomic Family (APD)	MALVAC	Hibiscus rosa-sinensis L.	Vernacular name	Checkered Hibiscus	Vernacular name (English)	"Blackening plant, China rose, Chinese hibiscus, Hawaiian hibiscus, Hawaiian rose-of -China, hibiscus, rose-of-China,, shoe flower., shoebackplant, shoeflower., Tropical Hibiscus."	Vernacular name (French)	"Hibiscus De Chine, rose de Chine"	R.D. Congo	Eala	1925	Goossens	Region (plant)		Ecology (plant)																																												
RMCA_024	1554	Taxonomic Family (APD)	MALVAC	Hibiscus sabdariffa L.	Vernacular name	Roselle	Vernacular name (English)	"Roselle, Jamaican sorrel, Indian sorrel, bissap, karkadeh"	Vernacular name (French)	"Roselle, oseille de Guinée, karkadé, bissap, thé rose d’Abyssinie, groseille pays"	R.D. Congo	Eala	1926	Goossens	Region (plant)		Ecology (plant)																																												
RMCA_006	4461	Taxonomic Family (APD)	MALVAC	Hibiscus sabdariffa L.	Vernacular name	Roselle	Vernacular name (English)	"Roselle, Jamaican sorrel, Indian sorrel, bissap, karkadeh"	Vernacular name (French)	"Roselle, oseille de Guinée, karkadé, bissap, thé rose d’Abyssinie, groseille pays"	Unknown	St. Giurbi/Auatude	1951	I.N.E.A.C.	Region (plant)		Ecology (plant)																																												
RMCA_051	4461	Taxonomic Family (APD)	MALVAC	Hibiscus sabdariffa L.	Vernacular name	Roselle	Vernacular name (English)	"Roselle, Jamaican sorrel, Indian sorrel, bissap, karkadeh"	Vernacular name (French)	"Roselle, oseille de Guinée, karkadé, bissap, thé rose d’Abyssinie, groseille pays"	Unknown	Station de Gimbi Mutadi	1951	I.N.E.A.C.	Region (plant)		Ecology (plant)																																												
RMCA_086	1413	Taxonomic Family (APD)	MALVAC	Hibiscus tiliaceus L.	Vernacular name	Sea Hibiscus	Vernacular name (English)	"Beach hibiscus, bladder ketmia, cotton tree, cottonwood, Hawaiian tree hibiscus, lagoon hibiscus, linden hibiscus, sea hibiscus, tree hibiscus, wild cotton tree"	Vernacular name (French)	"Bois de liège, liège des Antilles, purau"	R.D. Congo	Eala	1925	Goossens	Region (plant)		Ecology (plant)																																												
RMCA_012	1428	Taxonomic Family (APD)	MALVAC	Sida acuta Burm.f.	Vernacular name	Common Wireweed	Vernacular name (English)	"Broom weed, Common Fanpetals, common wireweed, southern sida, Spiny Head Sida, Wire Weed."	Vernacular name (French)	"Balai Midi, Balai Onze Heures, Balai Savane, Broomweed, Common Wireweed, Grosse Herbe Dure, herbe à paniers., Herbe Dure"	Rwanda	Ruanda	1962	Dept. De l'Agriculture	Region (plant)		Ecology (plant)																																												
RMCA_120	1769	Taxonomic Family (APD)	MALVAC	Sida rhombifolia L.	Vernacular name	Arrowleaf sida	Vernacular name (English)	"Queensland hemp, sida hemp, Cuba jute, arrow-leaf sida, broom jute sida"	Vernacular name (French)	"Chanvre du Queensland, herbe dure"	R.D. Congo	Eala	1928	m.a. Corbisier Baland	Region (plant)		Ecology (plant)																																												
